List of Vancouver Canucks players - Wikipedia
=============================================
Goaltenders
___________
Player Name     |     Nationality     |     Seasons
Jack Skille | United States | 2016–2017
Petri Skriko | Finland | 1984–1991
Jiri Slegr | Czech Republic | 1992–19952003–2004
Darryl Sly | Canada | 1970–1971
Brad Smith | Canada | 1978–1980
Doug Smith | Canada | 1988–1990
Nathan Smith | Canada | 2003–2007
Bryan Smolinski | United States | 2006–2007
Stan Smyl | Canada | 1978–1991
Harold Snepsts | Canada | 1974–19841988–1990
Gene Sobchuk | Canada | 1973–1974
Brent Sopel | Canada | 1998–20042006–2007
Fred Speck | Canada | 1971–1972
Ryan Spooner | Canada | 2018–2019
Andy Spruce | Canada | 1976–1977
Steve Staios | Canada | 1996–1999
Daryl Stanley | Canada | 1987–1990
Ryan Stanton | Canada | 2013–2015
Mike Stapleton | Canada | 2000–2001
Troy Stecher | Canada | 2016–2019
Ronnie Stern | Canada | 1987–1991
Mike Stevens | Canada | 1984–1985
Ralph Stewart | Canada | 1970–19711976–1978
Ron Stewart | Canada | 1971–1972
Alek Stojanov | Canada | 1994–1996
Steve Stone | Canada | 1973–1974
Marco Sturm | Germany | 2011–2012
Jason Strudwick | Canada | 1997–2002
Alexander Sulzer | Germany | 2011–2012
Raimo Summanen | Finland | 1986–1988
Mats Sundin | Sweden | 2008–2009
Patrik Sundstrom | Sweden | 1982–1987
Brandon Sutter | United States | 2015–2019
Rich Sutter | Canada | 1986–1990
Bill Sweatt | United States | 2011–2013
Lee Sweatt | United States | 2010–2011
Dale Tallon | Canada | 1970–1973
Jeff Tambellini | Canada | 2010–2011
Steve Tambellini | Canada | 1985–1988
Christopher Tanev | Canada | 2010–2019
Don Tannahill | Canada | 1972–1974
Tony Tanti | Canada | 1982–1990
Ted Taylor | Canada | 1970–1972
Josh Teves | Canada | 2018–2019
Alexei Tezikov | Russia | 2001–2002
Esa Tikkanen | Canada | 1995–1997
Raffi Torres | Canada | 2010–2011
Yannick Tremblay | Canada | 2006–2007
Nikita Tryamkin | Russia | 2015–2017
Rob Tudor | Canada | 1978–1980
Ossi Vaananen | Finland | 2008–2009
Lubomir Vaic | Slovakia | 1997–2000
Rick Vaive | Canada | 1979–1980
Garry Valk | Canada | 1990–1993
Thomas Vanek | Austria | 2017–2018
Herberts Vasiļjevs | Latvia | 2001–2002
Dennis Ververgaert | Canada | 1973–1979
Linden Vey | Canada | 2014–2016
Sid Veysey | Canada | 1977–1978
Claude Vilgrain | Haiti | 1987–1988
Jake Virtanen | Canada | 2015–2019
Aaron Volpatti | Canada | 2010–2013
Radim Vrbata | Czech Republic | 2014–2016
Scott Walker | Canada | 1994–1998
Ryan Walter | Canada | 1991–1993
Mike Walton | Canada | 1975–1978
Dixon Ward | Canada | 1992–1994
Ron Ward | Canada | 1971–1972
Todd Warriner | Canada | 2001–2003
Steve Washburn | Canada | 1998–1999
Mike Weaver | Canada | 2007–2008
Yannick Weber | Switzerland | 2013–2016
Eric Weinrich | United States | 2005–2006
Dale Weise | Canada | 2011–2014
Kyle Wellwood | Canada | 2008–2010
Jeremy Welsh | Canada | 2013–2014
Doug Wickenheiser | Canada | 1987–1988
Barry Wilcox | Canada | 1972–1975
Jim Wiley | Canada | 1975–1977
Barry Wilkins | Canada | 1970–1975
Tiger Williams | Canada | 1979–1984
Jim Wiste | Canada | 1970–1971
Dan Woodley | United States | 1987–1988
Mark Wotton | Canada | 1994–1998
John Wright | Canada | 1972–1974
Harry York | Canada | 1998–2000
Howie Young | Canada | 1970–1971
Mike Zalewski | United States | 2013–20142015–2017
Lars Zetterstrom | Sweden | 1978–1979
Peter Zezel | Canada | 1997–1999


Total Goaltenders: 60
Total Skaters: 552
