List of Detroit Red Wings players - Wikipedia
=============================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Brian Lavender | LW | 1972–1974
Daniel Lawson | RW | 1967–1969
Reggie Leach | RW | 1982–1983
James Leavins | D | 1985–1986
Brett Lebda | D | 2005–2010
Jean-Paul Leblanc | C | 1975–1979
Fern LeBlanc | C | 1976–1979
Rene LeClerc | RW | 1968–1971
David Legwand | C | 2013–2014
Ville Leino | LW | 2008–2010
Real Lemieux | LW | 1966–1967
Tony Leswick | LW | 1951–1958
Herbie Lewis | LW | 1928–1939
Dave Lewis | D | 1986–1988
Nick Libett | LW | 1967–1979
Tony Licari | RW | 1946–1947
Nicklas Lidstrom | D | 1991–2012
Andreas Lilja | D | 2005–2010
Ted Lindsay | LW | 1944–1965
Carl Liscombe | LW | 1937–1946
Ed Litzenberger | C | 1961–1962
Bill Lochead | LW | 1974–1979
Mark Lofthouse | RW | 1981–1983
Claude Loiselle | C | 1981–1986
Barry Long | D | 1979–1980
Matt Lorito | RW | 2016–2017
Clem Loughlin | D | 1926–1928
Dave Lucas | D | 1962–1963
Don Luce | C | 1970–1971
Len Lunde | C | 1958–1962
Tord Lundstrom | LW | 1973–1974
Pat Lundy | C | 1945–1949
Chris Luongo | D | 1990–1991
George Lyle | LW | 1979–1982
Jack Lynch | D | 1973–1975
Vic Lynn | LW | 1943–1944
Parker MacDonald | C | 1960–1967
Lowell MacDonald | LW | 1961–1965
Bruce MacGregor | C | 1960–1971
Calum MacKay | LW | 1946–1949
Howard Mackie | RW | 1936–1938
Paul MacLean | RW | 1988–1989
Donald MacLean | C | 2005–2006
Rick MacLeish | C | 1983–1984
Brian MacLellan | LW | 1991–1992
John MacMillan | RW | 1963–1965
James Macoun | D | 1997–1999
Frank Mahovlich | LW | 1967–1971
Peter Mahovlich | C | 1965–1981
Mark Major | LW | 1996–1997
Dan Maloney | LW | 1975–1978
Steve Maltais | LW | 1993–1994
Kirk Maltby | LW | 1995–2010
Randy Manery | D | 1970–1972
Ken Mann | RW | 1975–1976
Bob Manno | D | 1983–1985
Anthony Mantha | RW | 2015–2019
Alexei Marchenko | D | 2013–2017
Lou Marcon | D | 1958–1963
Gus Marker | RW | 1932–1934
Danny Markov | D | 2006–2007
Brad Marsh | D | 1990–1992
Gary Marsh | LW | 1967–1968
Albert Marshall | D | 1965–1968
Pit Martin | C | 1961–1966
Clare Martin | D | 1949–1951
Don Martineau | RW | 1975–1977
Steve Martinson | LW | 1987–1988
Joe Matte | D | 1929–1930
Charley Mason | RW | 1938–1939
Brad May | LW | 2009–2010
Gary McAdam | RW | 1980–1981
Jud McAtee | LW | 1942–1945
Stan McCabe | LW | 1929–1930
Doug McCaig | D | 1941–1949
Rick McCann | C | 1967–1975
Tom McCarthy | LW | 1956–1959
Darren McCarty | RW | 1993–2009
Bert McInenly | LW | 1930–1932
Kevin McClelland | RW | 1989–1991
Bob McCord | D | 1965–1968
Dale McCourt | C | 1977–1982
Bill McCreary, Sr. | LW | 1957–1958
Brad McCrimmon | D | 1990–1993
Brian McCutcheon | LW | 1974–1977
Wilfred McDonald | D | 1934–1939
Ab McDonald | LW | 1965–1972
Butch McDonald | LW | 1939–1945
Al McDonough | RW | 1977–1978
Bill McDougall | C | 1990–1991
Mike McEwen | D | 1985–1986
Jim McFadden | C | 1946–1951
Bob McGill | D | 1991–1992
Dylan McIlrath | D | 2018–2019
Jack McIntyre | D | 1957–1960
Randy McKay | RW | 1988–1991
Doug McKay | LW | 1949–1950
Walt McKechnie | C | 1974–1983
Tony McKegney | LW | 1989–1990
Don McKenney | C | 1965–1966
John McKenzie | RW | 1959–1961
Andrew McKim | C | 1994–1995
Rollie McLenahan | D | 1945–1946
Al McLeod | D | 1973–1974
Mike McMahon Jr. | D | 1969–1970
