List of Pittsburgh Penguins players - Wikipedia
===============================================
Skaters
_______
Player     |     Years     
Patrick Riggin | 1986–1988
Roberto Romano | 1982–1994
James Rutherford | 1971–1974
Dany Sabourin | 2005–2009
Peter Skudra | 1997–2000
Allan Smith | 1969–1971
Garth Snow | 2000–2001
Richard Tabaracci | 1988–1989
Bobby Taylor | 1975–1976
Jocelyn Thibault | 2005–2007
Brad Thiessen | 2011–2012
Vincent Tremblay | 1983–1984
Ron Tugnutt | 1999–2000
Tomas Vokoun | 2012–2013
Dunc Wilson | 1976–1978
Ken Wregget | 1991–1998
Wendell Young | 1988–1995


Total Goaltenders: 64
Total Skaters: 649
