List of Dallas Stars players - Wikipedia
========================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Michael Ryder | Canada | 2011—2013
Raymond Sawada | Canada | 2008—2011
Colton Sceviour | Canada | 2010—2016
David Schlemko | Canada | 2014—2015
Brandon Segal | Canada | 2009—2011
Tyler Seguin | Canada | 2013—2019
Lubomir Sekeras | Slovakia | 2003—2004
Brent Severyn | Canada | 1998—1999
Patrick Sharp | Canada | 2015—2017
Devin Shore | Canada | 2015—2019
Jon Sim | Canada | 1998—2003
Tommy Sjodin | Sweden | 1993—1994
Jarrod Skalde | Canada | 1997—1998
Martin Skoula | Czech Republic | 2005—2006
Karlis Skrastins | Latvia | 2009—2011
Brian Skrudland | Canada | 1997—2000
Blake Sloan | United States | 1998—20012003—2004
Derrick Smith | Canada | 1993—1994
Gemel Smith | Canada | 2016—2019
Reilly Smith | Canada | 2011—2013
Sheldon Souray | Canada | 2011—2012
Jason Spezza | Canada | 2014—2019
Garrett Stafford | United States | 2008—2009
Patrik Stefan | Czech Republic | 2006—2007
Jeremy Stevenson | United States | 2006—2007
Jim Storm | United States | 1995—1996
Brian Sutherby | Canada | 2008—2011
Jaroslav Svoboda | Czech Republic | 2005—2006
Don Sweeney | Canada | 2003—2004
Darryl Sydor | Canada | 1995—20032006—20072008—2009
Chris Tancill | United States | 1993—19941997—1998
Chris Therien | Canada | 2003—2004
Scott Thornton | Canada | 1999—2000
Mark Tinordi | Canada | 1993—1994
Mathias Tjarnqvist | Sweden | 2003—2007
Patrick Traverse | Canada | 2005—2006
Pierre Turgeon | Canada | 2001—2007
Rob Valicevic | United States | 2003—2004
Shaun Van Allen | Canada | 2000—2002
Jarkko Varvio | Finland | 1993—1995
Pat Verbeek | Canada | 1996—19992001—2002
Tomas Vincour | Czech Republic | 2010—2013
Ivan Vishnevskiy | Russia | 2008—2010
Tom Wandell | Sweden | 2008—2013
Francis Wathier | Canada | 2009—2013
Ray Whitney | Canada | 2012—2014
Jason Williams | Canada | 2010—2011
Landon Wilson | United States | 2008—2009
Brad Winchester | United States | 2007—2008
Randy Wood | United States | 1995—1996
Mark Wotton | Canada | 2000—2001
Jeff Woywitka | Canada | 2009—2011
Jamie Wright | Canada | 1997—2001
Scott Young | United States | 2002—2004
Peter Zezel | Canada | 1994—1995
Doug Zmolek | United States | 1993—1996
Sergei Zubov | Russia | 1996—2009
Mats Zuccarello | Norway | 2018—2019


Total Goaltenders: 33
Total Skaters: 303
