List of Washington Capitals players - Wikipedia
===============================================
Goaltenders
___________
Player Name     |     Nat.     |     Seasons
Shattenkirk, Kevin | None | 2016–2017
Shaw, Brad | None | 1998–1999
Sheehy, Neil | None | 1988–1991
Siegenthaler, Jonas | None | 2018–Present
Sill, Zach | None | 2015–2016
Siltala, Mike | None | 1981–1982
Simon, Chris | None | 1996–2003
Sirois, Bob | None | 1975–1980
Slaney, John | None | 1993–1995
Sloan, Tyler | None | 2008–2011
Smith, Dennis | None | 1989–1990
Smith, Gord | None | 1974–1979
Smith, Greg | None | 1985–1988
Smith, Rick | None | 1980–1981
Smith-Pelly, Devante | None | 2017–Present
Stanton, Ryan | None | 2015–2016
Stapleton, Brian | None | 1975–1976
Steckel, Dave | None | 2005–2011
Stephenson, Chandler | None | 2015–Present
Stevens, Scott | None | 1982–1990
Stewart, Blair | None | 1974–1979
Stoa, Ryan | None | 2013–2014
Stoltz, Roland | None | 1981–1982
Sturm, Marco | None | 2010–2011
Strachan, Tyson | None | 2013–2014
Stroshein, Garret | None | 2003–2004
Sundstrom, Peter | None | 1987–1989
Sutherby, Brian | None | 2001–2008
Svejkovsky, Jaroslav | None | 1996–2000
Svensson, Leif | None | 1978–1980
Sykora, Petr | None | 2005–2006
Tatarinov, Mikhail | None | 1990–1991
Taylor, Mark | None | 1984–1986
Tenute, Joey | None | 2005–2006
Tezikov, Alexei | None | 1998–2000
Theberge, Greg | None | 1979–1984
Thomson, Jim | None | 1986–19871988–1989
Tikkanen, Esa | None | 1997–1998
Tinordi, Mark | None | 1994–1999
Tippett, Dave | None | 1990–1992
Tocchet, Rick | None | 1996–1997
Toms, Jeff | None | 1997–2000
Tookey, Tim | None | 1980–1982
Tremblay, Brent | None | 1978–1980
Tucker, John | None | 1989–1990
Turcotte, Alfie | None | 1989–1991
Tutt, Brian | None | 1989–1990
Tvrdon, Roman | None | 2003–2004
Ulanov, Igor | None | 1994–1995
Urbom, Alexander | None | 2013–2014
Ustorf, Stefan | None | 1995–1997
Valentine, Chris | None | 1981–1984
Veitch, Darren | None | 1980–1986
Verot, Darcy | None | 2003–2004
Ververgaert, Dennis | None | 1980–1981
Volchkov, Alexandre | None | 1999–2000
Volpatti, Aaron | None | 2012–2015
Vrana, Jakub | None | 2016–Present
Walker, Howard | None | 1980–1982
Walker, Nathan | None | 2017–Present
Walker, Scott | None | 2009–2010
Walter, Ryan | None | 1978–1982
Ward, Joel | None | 2012–2015
Watson, Bryan | None | 1976–1979
Weber, Mike | None | 2015–2016
Wellman, Casey | None | 2013–2014
Wey, Patrick | None | 2013–2014
