List of Los Angeles Kings players - Wikipedia
=============================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Darryl Williams | Canada | 1992—1993
Tiger Williams | Canada | 1984—1988
Justin Williams | Canada | 2008—2015
Tom Williams | Canada | 1973—1979
Brian Willsie | Canada | 2006—2008
Bert Wilson | Canada | 1979—1980
Murray Wilson | Canada | 1978—1979
Jim Witherspoon | Canada | 1975—1976
Bob Woytowich | Canada | 1971—1972
Vitali Yachmenev | Russia | 1995—1998
Dmitri Yushkevich | Russia | 2002—2003
John Zeiler | United States | 2006—2009
Alexei Zhitnik | Russia | 1992—1995
Tomas Zizka | Czech Republic | 2002—2004
Doug Zmolek | United States | 1995—1998


Total Goaltenders: 71
Total Skaters: 587
