List of New Jersey Devils players - Wikipedia
=============================================
Goaltenders
___________
Player Name     |     Nat     |     Seasons
Thomas, Steve | None | 1995–1998
Thompson, Paul | None | 2015–2016
Thomson, Jim | None | 1989–1990
Tikkanen, Esa | None | 1995–1996
Tlusty, Jiri | None | 2015–2016
Todd, Kevin | None | 1988–1993
Tootoo, Jordin | None | 2014–2016
Trottier, Rocky | None | 1983–1985
Turgeon, Sylvain | None | 1989–1990
Tverdovsky, Oleg | None | 2002–2003
Urbom, Alexander | None | 2010–2013
Vadnais, Carol | None | 1982–1983
Vasyunov, Alexander | None | 2010–2011
Vatanen, Sami | None | 2017–2019
Vautour, Yvon | None | 1982–1984
Veilleux, Stephane | None | 2011–2012
Velischek, Randy | None | 1985–1990
Verbeek, Pat | None | 1982–1989
Vilgrain, Claude | None | 1989–1993
Vishnevski, Vitaly | None | 2007–2008
Volchenkov, Anton | None | 2010–2014
Vrana, Petr | None | 2008–2009
Walter, Ben | None | 2009–2010
Ward, Ed | None | 2000–2001
Warsofsky, David | None | 2015–2016
Weinrich, Eric | None | 1988–1992
Wensink, John | None | 1982–1983
White, Colin | None | 1999–2011
White, Colton | None | 2018–2019
Whitney, Joe | None | 2013–2015
Wiemer, Jason | None | 2005–2006
Wilson, Mitch | None | 1984–1985
Wolanin, Craig | None | 1984–1990
Wood, Miles | None | 2015–2019
Yakovlec, Egor | None | 2018–2019
Ysebaert, Paul | None | 1989–1991
Zacha, Pavel | None | 2015–2019
Zajac, Travis | None | 2006–2019
Zalewski, Steven | None | 2011–2012
Zelepukin, Valeri | None | 1991–1998
Zezel, Peter | None | 1996–1998
Zharkov, Vladimir | None | 2009–2012
Zidlicky, Marek | None | 2011–2015
Zubrus, Dainius | None | 2007–2015
Zyuzin, Andrei | None | 2001–2003


Total Goaltenders: 35
Total Skaters: 380
