List of New York Islanders players - Wikipedia
==============================================
Goaltenders
___________
Player Name     |     Nationality     |     Seasons
Daniel Marois | Canada | 1991—1993
Bert Marshall | Canada | 1973—1979
Matt Martin | Canada | 2009—20162018—Present
Radek Martinek | Canada | 2001—20112012—2013
Steve Martins | Canada | 2000—2001
Greg Mauldin | United States | 2009—2010
Scott Mayfield | United States | 2013—Present
Wayne McBean | Canada | 1988—1994
Bryan McCabe | Canada | 1995—1998
Colin McDonald | United States | 2012—2015
Hubie McDonough | United States | 1989—1992
Mike McEwen | Canada | 1980—1984
Bob McGill | Canada | 1993—1994
Marty McInnis | United States | 1991—1997
Alex McKendry | Canada | 1977—1980
Todd McLellan | Canada | 1987—1988
Dave McLlwain | Canada | 1991—19921996—1997
Kurtis McLean | Canada | 2008—2009
Wayne Merrick | Canada | 1977—1984
Freddy Meyer | United States | 2006—2010
Branislav Mezei | Slovakia | 2000—2002
Petr Mika | Czech Republic | 1999—2000
Bill Mikkelson | Canada | 1972—1973
Kevin Miller | United States | 1998—1999
Kip Miller | United States | 1994—19951997—19982001—2002
Tom Miller | Canada | 1972—1975
Ken Morrow | United States | 1979—1989
Mike Mottau | United States | 2010—2012
Kael Mouillierat | Canada | 2014—2015
Matt Moulson | Canada | 2009—2013
Bill Muckalt | Canada | 1999—2001
Brian Mullen | United States | 1992—1993
Kirk Muller | Canada | 1994—1996
Ken Murray | Canada | 1972—1973
Anders Myrvold | Norway | 2000—2001
Dmitri Nabokov | Russia | 1998—2000
Evgeny Namestnikov | Russia | 1997—1998
Alain Nasreddine | Canada | 2002—2003
Brock Nelson | United States | 2013—Present
Sergei Nemchinov | Russia | 1997—1999
Aaron Ness | United States | 2011—2014
Neil Nicholson | Canada | 1972—19741977—1978
Nino Niederreiter | Switzerland | 2010—2012
Frans Nielsen | Denmark | 2006—2016
Janne Niinimaa | Finland | 2002—2006
Robert Nilsson | Sweden | 2005—2006
Petteri Nokelainen | Finland | 2005—2006
Jeff Norton | United States | 1987—1993
Gary Nylund | Canada | 1988—1993
Bob Nystrom | Sweden | 1972—1986
Gino Odjick | Canada | 1997—2000
Todd Okerlund | United States | 1987—1988
Kyle Okposo | United States | 2007—2016
Vladimír Országh | Slovakia | 1997—2000
Zigmund Palffy | Slovakia | 1993—1999
Jay Pandolfo | United States | 2011—2012
Grigorijs Pantelejevs | Latvia | 1995—1996
Justin Papineau | Canada | 2002—2004
P. A. Parenteau | Canada | 2010—2012
J. P. Parise | Canada | 1974—1978
Richard Park | South Korea | 2006—2010
Greg Parks | Canada | 1991—1993
Mark Parrish | United States | 2000—2006
Scott Pearson | Canada | 1999—2000
Michael Peca | Canada | 2001—2004
Adam Pelech | Canada | 2015—Present
John Persson | Sweden | 2013—2014
Stefan Persson | Sweden | 1977—1986
Robert Petrovicky | Slovakia | 2000—2001
Tomi Pettinen | Finland | 2002—2006
Rich Pilon | Canada | 1988—2000
Dan Plante | United States | 1993—1998
Thomas Pock | Austria | 2008—2009
Jason Podollan | Canada | 2001—2002
Tom Poti | United States | 2006—2007
Denis Potvin | Canada | 1973—1988
Jean Potvin | Canada | 1972—1981
Pat Price | Canada | 1975—1979
Shane Prince | United States | 2015—2018
Chris Pryor | United States | 1987—1990
David Pulkkinen | Canada | 1972—1973
Ryan Pulock | Canada | 2015—Present
Taylor Pyatt | Canada | 2000—2001
Alan Quine | Canada | 2015—2018
Deron Quint | United States | 2006—2007
Rhett Rakhshani | United States | 2010—2012
Marty Reasoner | United States | 2011—2013
Joel Rechlicz | United States | 2008—2010
Joe Reekie | Canada | 1989—1992
Dylan Reese | United States | 2009—2012
Darcy Regier | Canada | 1982—1984
Steve Regier | Canada | 2005—2008
Peter Regin | Denmark | 2013—2014
Robert Reichel | Czech Republic | 1996—1999
Griffin Reinhart | Canada | 2014—2015
Barry Richter | United States | 1998—1999
Jamie Rivers | Canada | 1999—2000
Randy Robitaille | Canada | 2002—20032006—2007
Dave Roche | Canada | 2001—2002
Brian Rolston | United States | 2011—2012
Doug Rombough | Canada | 1973—1975
Cliff Ronning | Canada | 2003—2004
Allan Rourke | Canada | 2005—2007
Joe Sacco | United States | 1997—1999
Dave Salvian | Canada | 1976—1977
Miroslav Satan | Slovakia | 2005—2008
Luca Sbisa | Switzerland | 2018—Present
Dave Scatchard | Canada | 1999—2004
Mathieu Schneider | United States | 1994—1996
Rob Schremp | United States | 2009—2011
Ray Schultz | Canada | 1997—2003
Scott Scissons | Canada | 1990—19911993—1994
Dennis Seidenberg | Germany | 2016—2018
Alexander Semak | Russia | 1995—1996
Brent Severyn | Canada | 1994—1996
Mike Sillinger | Canada | 2006—2009
Jon Sim | Canada | 2007—2011
Chris Simon | Canada | 2006—2008
Jason Simon | Canada | 1993—1994
Shane Sims | United States | 2010—2011
Brett Skinner | Canada | 2008—2009
Brandon Smith | Canada | 2002—2003
Ron Smith | Canada | 1972—1973
Trevor Smith | Canada | 2008—2009
Vern Smith | Canada | 1984—1985
Wyatt Smith | United States | 2005—2006
Bryan Smolinski | United States | 1996—1999
Ryan Smyth | Canada | 2006—2007
Brent Sopel | Canada | 2005—2006
Brian Spencer | Canada | 1972—1974
