List of Tampa Bay Lightning players - Wikipedia
===============================================
Goaltenders
___________
Player Name     |     Nat     |     Seasons
Murphy, Cory | Canada | 2008–2009
Myhres, Brantt | Canada | 1994–19951996–1997
Namestnikov, Vladislav | Russia | 2013–2018
Nazarov, Andrei | Russia | 1997–1999
Neckar, Stan | Czech Republic | 2000–2004
Nesterov, Nikita | Russia | 2014–2017
Niskala, Janne | Finland | 2008–2009
Norton, Jeff | United States | 1996–1998
Nylander, Michael | Sweden | 1998–2000
O'Brien, Doug | Canada | 2005–2006
O'Brien, Shane | Canada | 2006–2009
Oberg, Even | Canada | 2011–2012
Ohlund, Mattias | Sweden | 2009–2011
Olvestad, Jimmie | Sweden | 2001–2003
Osborne, Keith | Canada | 1992–1993
Ouellet, Michel | Canada | 2007–2008
Palat, Ondrej | Czech Republic | 2012–2019
Panik, Richard | Slovakia | 2012–2014
Paquette, Cedric | Canada | 2013–2019
Parrish, Mark | United States | 2009–2010
Peca, Matthew | Canada | 2016–2018
None | Canada | 2003–20042006–2007
Peterson, Brent | Canada | 1996–1999
Petiot, Richard | Canada | 2008–2009
Petit, Michel | Canada | 1995–1996
Petrovicky, Robert | Slovakia | 1998–2000
Pettinger, Matt | Canada | 2008–2009
Picard, Alexandre | Canada | 2007–2008
Plavsic, Adrien | Canada | 1994–1996
Poeshek, Rudy | Canada | 1993–1997
Point, Brayden | Canada | 2016–2019
Posmyk, Marek | Czech Republic | 1999–2001
Poulin, Patrick | Canada | 1995–1998
Pouliot, Benoit | Canada | 2012–2013
Pouliot, Marc-Antoine | Canada | 2010–2011
None | Canada | 2001–2007
Primeau, Wayne | Canada | 1999–2001
Prospal, Vaclav | Czech Republic | 2001–20032005–20082008–2009
Purcell, Teddy | Canada | 2009–2014
Pyatt, Tom | Canada | 2011–2014
Quick, Kevin | United States | 2008–2009
Racine, Yves | Canada | 1997–1998
Raglan, Herb | Canada | 1992–1993
Ramage, Rob | Canada | 1992–1993
Ranger, Paul | Canada | 2005–2010
None | Canada | 2008–2009
Reekie, Joe | Canada | 1992–1994
Reid, Darren | Canada | 2005–2006
Renberg, Mikael | Sweden | 1997–1999
Richard, Tanner | Switzerland | 2016–2017
None | Canada | 2000–2008
Richardson, Luke | Canada | 2006–2007
Richer, Stephane | Canada | 1992–1993
Richer, Stephane | Canada | 1997–2000
Ritola, Mattias | Sweden | 2010–2012
Rivers, Shawn | Canada | 1992–1993
Roberts, Gary | Canada | 2008–2009
Rochefort, Normand | Canada | 1993–1994
Rominski, Dale | United States | 1999–2000
None | Canada | 2001–20042006–2008
Roy, Mathieu | Canada | 2010–2013
Royer, Gaetan | Canada | 2001–2002
Ruff, Jason | Canada | 1992–1994
None | Canada | 2002–2004
Rutta, Jan | Czech Republic | 2018–2019
Salo, Sami | Finland | 2012–2014
Samuelsson, Kjell | Sweden | 1998–1999
None | Canada | 1999–2007
None | Canada | 1993–1995
Segal, Brandon | Canada | 2008–2012
Selivanov, Alexander | Russia | 1994–1999
Semak, Alexander | Russia | 1994–1995
Semenov, Anatoli | Russia | 1992–1993
Sergachev, Mikhail | Russia | 2017–2019
Shannon, Ryan | United States | 2011–2012
Shaw, David | Canada | 1995–1998
Shevalier, Jeff | Canada | 1999–2000
Sillinger, Mike | Canada | 1998–2000
Simard, Martin | Canada | 1992–1993
Simpson, Reid | Canada | 1999–2000
Skopintsev, Andrei | Russia | 1998–2000
Smaby, Matt | United States | 2007–2011
Smith, Trevor | Canada | 2011–2012
Smolenak, Radek | Czech Republic | 2008–2009
Spring, Corey | Canada | 1997–1999
None | Canada | 2000–2014
Stamkos, Steven | Canada | 2008–2019
Stevenson, Shayne | Canada | 1992–1993
Stewart, Karl | Canada | 2006–2008
None | Canada | 2003–2004
Stralman, Anton | Sweden | 2014–2019
Sustr, Andrej | Czech Republic | 2012–2018
Sutter, Rich | Canada | 1994–1995
Svejkovsky, Jaroslav | Czech Republic | 1999–2000
Svitov, Alexander | Russia | 2002–2004
Svoboda, Petr | Czech Republic | 1998–2001
None | Canada | 2003–2006
Sykora, Michal | Czech Republic | 1998–1999
Szczechura, Paul | Canada | 2008–2010
Taglianetti, Peter | United States | 1992–1993
Tanguay, Alex | Canada | 2009–2010
Taormina, Matt | United States | 2012–20142015–2016
Tarnasky, Nick | Canada | 2005–2008
None | Canada | 2001–2008
Thompson, Nate | United States | 2009–2014
Tobler, Ryan | Canada | 2001–2002
Toms, Jeff | Canada | 1995–1998
Torgayev, Pavel | Russia | 1999–2000
Tucker, Darcy | Canada | 1997–2000
Tucker, John | Canada | 1992–1996
Tyrell, Dana | Canada | 2010–2014
Ulanov, Igor | Russia | 1995–1998
Veilleux, Stephane | Canada | 2009–2010
Vermin, Joel | Switzerland | 2015–2017
Vernace, Michael | Canada | 2010–2011
Vrbata, Radim | Czech Republic | 2008–2009
Vujtek, Vladimir | Czech Republic | 1997–1998
Vukota, Mick | Canada | 1997–1998
Walker, Matt | Canada | 2009–2010
Wallace, Tim | United States | 2011–2012
Wanvig, Kyle | Canada | 2006–2008
Ward, Jason | Canada | 2006–2010
Warriner, Todd | Canada | 1999–2001
Welch, Noah | United States | 2008–2009
Wells, Jay | Canada | 1996–1997
Wiemer, Jason | Canada | 1994–1998
Wilkie, David | United States | 1997–1999
Willis, Shane | Canada | 2001–20022003–2004
Wishart, Ty | Canada | 2008–2009
Witkowski, Luke | United States | 2014–2017
Wolanin, Craig | United States | 1996–1997
Wright, James | Canada | 2009–2011
Wyman, J. T. | United States | 2011–2013
Ylonen, Juha | Finland | 2001–2002
Ysebaert, Paul | Canada | 1994–1999
Zamuner, Rob | Canada | 1992–1999
Ziegler, Thomas | Switzerland | 2000–2001
Zyuzin, Andrei | Russia | 1999–2002


Total Goaltenders: 46
Total Skaters: 356
